round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.74341,0.5004,0.50003,0.44006,0.74341,0.74341,0.74341
2,0.7506,0.60287,0.50111,0.43236,0.7506,0.7506,0.7506
3,0.75097,0.67555,0.50086,0.43105,0.75097,0.75097,0.75097
4,0.75115,0.75058,0.50099,0.43111,0.75115,0.75115,0.75115
5,0.75152,0.79238,0.50173,0.43267,0.75152,0.75152,0.75152
6,0.75318,0.81756,0.5053,0.44033,0.75318,0.75318,0.75318
7,0.75484,0.81044,0.50912,0.44856,0.75484,0.75484,0.75484
8,0.75852,0.83048,0.51676,0.46411,0.75852,0.75852,0.75852
9,0.76276,0.84127,0.5255,0.48134,0.76276,0.76276,0.76276
10,0.76902,0.84435,0.53881,0.50668,0.76902,0.76902,0.76902
11,0.77325,0.83807,0.54854,0.52469,0.77325,0.77325,0.77325
12,0.77896,0.83551,0.56148,0.54747,0.77896,0.77896,0.77896
13,0.78449,0.83296,0.57429,0.56896,0.78449,0.78449,0.78449
14,0.7867,0.82523,0.5807,0.57949,0.7867,0.7867,0.7867
15,0.78891,0.81924,0.58711,0.58968,0.78891,0.78891,0.78891
16,0.79241,0.81779,0.59586,0.60299,0.79241,0.79241,0.79241
17,0.79536,0.81696,0.60326,0.61387,0.79536,0.79536,0.79536
18,0.79665,0.81138,0.60806,0.62081,0.79665,0.79665,0.79665
19,0.79904,0.80917,0.61484,0.63027,0.79904,0.79904,0.79904
20,0.79941,0.80692,0.61657,0.63263,0.79941,0.79941,0.79941
