round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.74986,0.37528,0.49939,0.42853,0.74986,0.74986,0.74986
1,1,0.61374,0.42945,0.44256,0.43424,0.61374,0.61374,0.61374
1,2,0.55443,0.43402,0.42824,0.43057,0.55443,0.55443,0.55443
1,3,0.56401,0.43402,0.43067,0.43216,0.56401,0.56401,0.56401
1,4,0.5338,0.44896,0.43869,0.43979,0.5338,0.5338,0.5338
1,5,0.41352,0.55029,0.55066,0.41352,0.41352,0.41352,0.41352
1,6,0.59164,0.42812,0.43426,0.43078,0.59164,0.59164,0.59164
1,7,0.73328,0.5536,0.51575,0.48767,0.73328,0.73328,0.73328
1,8,0.54522,0.44007,0.43173,0.4343,0.54522,0.54522,0.54522
1,9,0.7366,0.43356,0.49352,0.43222,0.7366,0.7366,0.7366
2,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
2,1,0.74747,0.53192,0.5015,0.43822,0.74747,0.74747,0.74747
2,2,0.74378,0.50365,0.50028,0.4402,0.74378,0.74378,0.74378
2,3,0.74452,0.50743,0.50052,0.43981,0.74452,0.74452,0.74452
2,4,0.7412,0.4926,0.4993,0.44117,0.7412,0.7412,0.7412
2,5,0.70123,0.63405,0.66031,0.63987,0.70123,0.70123,0.70123
2,6,0.74581,0.5149,0.50088,0.43896,0.74581,0.74581,0.74581
2,7,0.75134,0.64258,0.50654,0.44649,0.75134,0.75134,0.75134
2,8,0.74268,0.49435,0.49954,0.43978,0.74268,0.74268,0.74268
2,9,0.74949,0.37523,0.49914,0.42841,0.74949,0.74949,0.74949
3,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
3,1,0.75023,0.51827,0.50013,0.43009,0.75023,0.75023,0.75023
3,2,0.7506,0.60287,0.50111,0.43236,0.7506,0.7506,0.7506
3,3,0.7506,0.60287,0.50111,0.43236,0.7506,0.7506,0.7506
3,4,0.75078,0.62576,0.50198,0.43455,0.75078,0.75078,0.75078
3,5,0.77768,0.7049,0.61938,0.63421,0.77768,0.77768,0.77768
3,6,0.75023,0.51827,0.50013,0.43009,0.75023,0.75023,0.75023
3,7,0.7541,0.75937,0.50863,0.44827,0.7541,0.7541,0.7541
3,8,0.75078,0.62567,0.50148,0.43313,0.75078,0.75078,0.75078
3,9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
4,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
4,1,0.75115,0.75058,0.50099,0.43111,0.75115,0.75115,0.75115
4,2,0.75097,0.67555,0.50086,0.43105,0.75097,0.75097,0.75097
4,3,0.75097,0.67555,0.50086,0.43105,0.75097,0.75097,0.75097
4,4,0.75078,0.62558,0.50099,0.43171,0.75078,0.75078,0.75078
4,5,0.77989,0.72487,0.60085,0.61153,0.77989,0.77989,0.77989
4,6,0.75097,0.67555,0.50086,0.43105,0.75097,0.75097,0.75097
4,7,0.75428,0.74897,0.50949,0.45037,0.75428,0.75428,0.75428
4,8,0.7506,0.58979,0.50062,0.43093,0.7506,0.7506,0.7506
4,9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
5,0,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
5,1,0.75115,0.75058,0.50099,0.43111,0.75115,0.75115,0.75115
5,2,0.75115,0.75058,0.50099,0.43111,0.75115,0.75115,0.75115
5,3,0.75115,0.75058,0.50099,0.43111,0.75115,0.75115,0.75115
5,4,0.75152,0.79238,0.50173,0.43267,0.75152,0.75152,0.75152
5,5,0.7926,0.75513,0.62314,0.64054,0.7926,0.7926,0.7926
5,6,0.75115,0.75058,0.50099,0.43111,0.75115,0.75115,0.75115
5,7,0.75741,0.78359,0.51602,0.46361,0.75741,0.75741,0.75741
5,8,0.75134,0.77565,0.50136,0.43189,0.75134,0.75134,0.75134
5,9,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
6,0,0.75097,0.87546,0.50037,0.42961,0.75097,0.75097,0.75097
6,1,0.75152,0.79238,0.50173,0.43267,0.75152,0.75152,0.75152
6,2,0.75152,0.79238,0.50173,0.43267,0.75152,0.75152,0.75152
6,3,0.75152,0.79238,0.50173,0.43267,0.75152,0.75152,0.75152
6,4,0.75318,0.84301,0.50505,0.43963,0.75318,0.75318,0.75318
6,5,0.80088,0.77065,0.63928,0.66065,0.80088,0.80088,0.80088
6,6,0.75152,0.79238,0.50173,0.43267,0.75152,0.75152,0.75152
6,7,0.76478,0.80125,0.53253,0.49619,0.76478,0.76478,0.76478
6,8,0.75207,0.82037,0.50283,0.435,0.75207,0.75207,0.75207
6,9,0.75152,0.87567,0.50148,0.43196,0.75152,0.75152,0.75152
7,0,0.75134,0.8756,0.50111,0.43117,0.75134,0.75134,0.75134
7,1,0.75318,0.81756,0.5053,0.44033,0.75318,0.75318,0.75318
7,2,0.75299,0.81382,0.50493,0.43957,0.75299,0.75299,0.75299
7,3,0.75299,0.81382,0.50493,0.43957,0.75299,0.75299,0.75299
7,4,0.75355,0.80514,0.50628,0.44256,0.75355,0.75355,0.75355
7,5,0.80512,0.77092,0.65321,0.67653,0.80512,0.80512,0.80512
7,6,0.75262,0.80475,0.50419,0.43803,0.75262,0.75262,0.75262
7,7,0.7727,0.8091,0.5504,0.52904,0.7727,0.7727,0.7727
7,8,0.75355,0.82389,0.50604,0.44187,0.75355,0.75355,0.75355
7,9,0.75189,0.87581,0.50222,0.43351,0.75189,0.75189,0.75189
8,0,0.75262,0.87608,0.5037,0.43662,0.75262,0.75262,0.75262
8,1,0.75502,0.81266,0.50949,0.44932,0.75502,0.75502,0.75502
8,2,0.75465,0.80807,0.50875,0.44781,0.75465,0.75465,0.75465
8,3,0.75465,0.80807,0.50875,0.44781,0.75465,0.75465,0.75465
8,4,0.75649,0.81681,0.51269,0.45598,0.75649,0.75649,0.75649
8,5,0.81138,0.77285,0.67343,0.69795,0.81138,0.81138,0.81138
8,6,0.75428,0.80282,0.50801,0.44629,0.75428,0.75428,0.75428
8,7,0.77896,0.81113,0.56493,0.55418,0.77896,0.77896,0.77896
8,8,0.75557,0.81856,0.5106,0.45157,0.75557,0.75557,0.75557
8,9,0.75281,0.83774,0.50431,0.43809,0.75281,0.75281,0.75281
9,0,0.7552,0.85787,0.50912,0.44803,0.7552,0.7552,0.7552
9,1,0.75852,0.83048,0.51676,0.46411,0.75852,0.75852,0.75852
9,2,0.75833,0.82947,0.51639,0.46337,0.75833,0.75833,0.75833
9,3,0.75833,0.82947,0.51639,0.46337,0.75833,0.75833,0.75833
9,4,0.75981,0.82992,0.51959,0.46986,0.75981,0.75981,0.75981
9,5,0.8147,0.77167,0.68748,0.7113,0.8147,0.8147,0.8147
9,6,0.75797,0.82733,0.51565,0.4619,0.75797,0.75797,0.75797
9,7,0.78486,0.80808,0.57972,0.57843,0.78486,0.78486,0.78486
9,8,0.75926,0.8342,0.51823,0.46704,0.75926,0.75926,0.75926
9,9,0.75649,0.86244,0.5117,0.4533,0.75649,0.75649,0.75649
10,0,0.75705,0.86392,0.51281,0.45555,0.75705,0.75705,0.75705
10,1,0.76276,0.84127,0.5255,0.48134,0.76276,0.76276,0.76276
10,2,0.76239,0.84009,0.52476,0.47992,0.76239,0.76239,0.76239
10,3,0.76202,0.83885,0.52402,0.47849,0.76202,0.76202,0.76202
10,4,0.76699,0.83957,0.53474,0.49919,0.76699,0.76699,0.76699
10,5,0.81451,0.77271,0.68539,0.70952,0.81451,0.81451,0.81451
10,6,0.76055,0.83323,0.52107,0.47275,0.76055,0.76055,0.76055
10,7,0.79112,0.79837,0.59797,0.60644,0.79112,0.79112,0.79112
10,8,0.76386,0.84451,0.52772,0.48559,0.76386,0.76386,0.76386
10,9,0.75778,0.83475,0.51503,0.46051,0.75778,0.75778,0.75778
11,0,0.75907,0.85822,0.51712,0.46436,0.75907,0.75907,0.75907
11,1,0.76902,0.84435,0.53881,0.50668,0.76902,0.76902,0.76902
11,2,0.7692,0.84835,0.53893,0.50679,0.7692,0.7692,0.7692
11,3,0.76883,0.84395,0.53844,0.50601,0.76883,0.76883,0.76883
11,4,0.77178,0.83485,0.54558,0.51945,0.77178,0.77178,0.77178
11,5,0.81746,0.77207,0.69821,0.72102,0.81746,0.81746,0.81746
11,6,0.76791,0.84563,0.53634,0.50203,0.76791,0.76791,0.76791
11,7,0.79536,0.79266,0.61116,0.6252,0.79536,0.79536,0.79536
11,8,0.77068,0.84445,0.54238,0.51329,0.77068,0.77068,0.77068
