round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.93808,0.46962,0.49934,0.48403,0.93808,0.93808,0.93808
1,1,0.68571,0.46906,0.46667,0.46767,0.68571,0.68571,0.68571
1,2,0.63636,0.5,0.31818,0.38889,0.63636,0.63636,0.63636
1,3,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
1,4,0.125,0.5,0.0625,0.11111,0.125,0.125,0.125
1,5,0.84368,0.5,0.42184,0.45761,0.84368,0.84368,0.84368
1,6,0.74026,0.5,0.37013,0.42537,0.74026,0.74026,0.74026
1,7,0.6397,0.54703,0.51151,0.45014,0.6397,0.6397,0.6397
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.98909,0.5,0.49455,0.49726,0.98909,0.98909,0.98909
2,0,0.93932,0.46966,0.5,0.48436,0.93932,0.93932,0.93932
2,1,0.81714,0.41329,0.4931,0.44969,0.81714,0.81714,0.81714
2,2,0.90909,0.5,0.45455,0.47619,0.90909,0.90909,0.90909
2,3,0.96154,0.5,0.48077,0.4902,0.96154,0.96154,0.96154
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.6092,0.5,0.3046,0.37857,0.6092,0.6092,0.6092
2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,7,0.65076,0.66892,0.50809,0.41411,0.65076,0.65076,0.65076
2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.93932,0.46966,0.5,0.48436,0.93932,0.93932,0.93932
3,1,0.82857,0.41429,0.5,0.45312,0.82857,0.82857,0.82857
3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,5,0.30805,0.5,0.15402,0.2355,0.30805,0.30805,0.30805
3,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,7,0.64799,0.63656,0.50329,0.40239,0.64799,0.64799,0.64799
3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.93932,0.46966,0.5,0.48436,0.93932,0.93932,0.93932
4,1,0.82857,0.41429,0.5,0.45312,0.82857,0.82857,0.82857
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.25747,0.5,0.12874,0.20475,0.25747,0.25747,0.25747
4,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,7,0.64938,0.67451,0.50525,0.40652,0.64938,0.64938,0.64938
4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,0,0.93932,0.46966,0.5,0.48436,0.93932,0.93932,0.93932
5,1,0.82857,0.41429,0.5,0.45312,0.82857,0.82857,0.82857
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.28966,0.5,0.14483,0.2246,0.28966,0.28966,0.28966
5,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
