round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75262,0.66642,0.51036,0.45499,0.75262,0.75262,0.75262
2,0.77675,0.80582,0.5605,0.54685,0.77675,0.77675,0.77675
3,0.79407,0.80299,0.60413,0.61528,0.79407,0.79407,0.79407
4,0.80162,0.79744,0.62619,0.64532,0.80162,0.80162,0.80162
5,0.80641,0.80025,0.63802,0.66037,0.80641,0.80641,0.80641
6,0.80973,0.7991,0.64788,0.67226,0.80973,0.80973,0.80973
7,0.81028,0.79403,0.65245,0.67731,0.81028,0.81028,0.81028
8,0.81175,0.79428,0.65664,0.68211,0.81175,0.81175,0.81175
9,0.81359,0.7966,0.66058,0.68671,0.81359,0.81359,0.81359
10,0.81544,0.79849,0.66477,0.69151,0.81544,0.81544,0.81544
11,0.81746,0.80061,0.66933,0.69666,0.81746,0.81746,0.81746
12,0.81857,0.80251,0.6713,0.69897,0.81857,0.81857,0.81857
13,0.81967,0.80438,0.67327,0.70126,0.81967,0.81967,0.81967
14,0.82004,0.80488,0.67401,0.7021,0.82004,0.82004,0.82004
15,0.82151,0.80759,0.67647,0.70499,0.82151,0.82151,0.82151
16,0.82317,0.80906,0.68029,0.70917,0.82317,0.82317,0.82317
17,0.82409,0.81026,0.68214,0.71124,0.82409,0.82409,0.82409
18,0.82428,0.80979,0.683,0.71208,0.82428,0.82428,0.82428
19,0.8252,0.81098,0.68485,0.71413,0.8252,0.8252,0.8252
20,0.82538,0.81158,0.68497,0.71432,0.82538,0.82538,0.82538
