round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,1,0.66513,0.44539,0.46839,0.44799,0.66513,0.66513,0.66513
1,2,0.56125,0.43472,0.43056,0.43235,0.56125,0.56125,0.56125
1,3,0.58077,0.43262,0.43418,0.43337,0.58077,0.58077,0.58077
1,4,0.51446,0.46458,0.45445,0.44774,0.51446,0.51446,0.51446
1,5,0.36618,0.61675,0.56999,0.35685,0.36618,0.36618,0.36618
1,6,0.63308,0.42755,0.44852,0.43415,0.63308,0.63308,0.63308
1,7,0.80807,0.7435,0.73763,0.74045,0.80807,0.80807,0.80807
1,8,0.54338,0.45174,0.4431,0.44434,0.54338,0.54338,0.54338
1,9,0.7482,0.37507,0.49828,0.42798,0.7482,0.7482,0.7482
2,0,0.75189,0.87581,0.50222,0.43351,0.75189,0.75189,0.75189
2,1,0.75465,0.71118,0.51294,0.45913,0.75465,0.75465,0.75465
2,2,0.75262,0.67031,0.50962,0.45302,0.75262,0.75262,0.75262
2,3,0.75244,0.66661,0.50925,0.45228,0.75244,0.75244,0.75244
2,4,0.75686,0.66751,0.53738,0.51369,0.75686,0.75686,0.75686
2,5,0.58611,0.66681,0.70634,0.58061,0.58611,0.58611,0.58611
2,6,0.75207,0.67653,0.50604,0.44406,0.75207,0.75207,0.75207
2,7,0.81912,0.7595,0.744,0.75104,0.81912,0.81912,0.81912
2,8,0.75318,0.65998,0.51591,0.46857,0.75318,0.75318,0.75318
2,9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
3,0,0.75926,0.86823,0.51725,0.46445,0.75926,0.75926,0.75926
3,1,0.77933,0.80902,0.56617,0.55632,0.77933,0.77933,0.77933
3,2,0.77491,0.81309,0.55508,0.53717,0.77491,0.77491,0.77491
3,3,0.77547,0.81447,0.55619,0.53906,0.77547,0.77547,0.77547
3,4,0.79757,0.78623,0.62003,0.63712,0.79757,0.79757,0.79757
3,5,0.669,0.69347,0.75636,0.65445,0.669,0.669,0.669
3,6,0.77068,0.81645,0.54485,0.51875,0.77068,0.77068,0.77068
3,7,0.81765,0.75717,0.74401,0.75007,0.81765,0.81765,0.81765
3,8,0.78431,0.8003,0.5801,0.57926,0.78431,0.78431,0.78431
3,9,0.75668,0.86296,0.51207,0.45405,0.75668,0.75668,0.75668
4,0,0.76368,0.86688,0.52636,0.48244,0.76368,0.76368,0.76368
4,1,0.79407,0.80456,0.60363,0.61455,0.79407,0.79407,0.79407
4,2,0.7926,0.80866,0.5987,0.60735,0.7926,0.7926,0.7926
4,3,0.79296,0.80757,0.59993,0.60917,0.79296,0.79296,0.79296
4,4,0.80825,0.78192,0.65455,0.67887,0.80825,0.80825,0.80825
4,5,0.69737,0.70334,0.77154,0.67902,0.69737,0.69737,0.69737
4,6,0.78817,0.81909,0.58539,0.58701,0.78817,0.78817,0.78817
4,7,0.82004,0.76053,0.74733,0.75341,0.82004,0.82004,0.82004
4,8,0.80052,0.79849,0.62274,0.64082,0.80052,0.80052,0.80052
4,9,0.76404,0.85563,0.5276,0.48508,0.76404,0.76404,0.76404
5,0,0.76847,0.86312,0.53646,0.50178,0.76847,0.76847,0.76847
5,1,0.80181,0.80001,0.62557,0.64456,0.80181,0.80181,0.80181
5,2,0.80033,0.80059,0.62138,0.63905,0.80033,0.80033,0.80033
5,3,0.80107,0.80179,0.62286,0.64102,0.80107,0.80107,0.80107
5,4,0.81396,0.78558,0.66996,0.69587,0.81396,0.81396,0.81396
5,5,0.71081,0.70866,0.77877,0.69068,0.71081,0.71081,0.71081
5,6,0.7961,0.8121,0.60646,0.61853,0.7961,0.7961,0.7961
5,7,0.82059,0.76114,0.74943,0.75488,0.82059,0.82059,0.82059
5,8,0.80604,0.79347,0.64049,0.66314,0.80604,0.80604,0.80604
5,9,0.77178,0.85308,0.5441,0.51619,0.77178,0.77178,0.77178
6,0,0.77178,0.85994,0.54361,0.51508,0.77178,0.77178,0.77178
6,1,0.80659,0.80258,0.6374,0.65969,0.80659,0.80659,0.80659
6,2,0.80512,0.80137,0.63395,0.65533,0.80512,0.80512,0.80512
6,3,0.80494,0.80162,0.63334,0.65456,0.80494,0.80494,0.80494
6,4,0.81507,0.78335,0.67563,0.70147,0.81507,0.81507,0.81507
