round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.93932,0.46966,0.5,0.48436,0.93932,0.93932,0.93932
1,1,0.74286,0.46289,0.47471,0.46607,0.74286,0.74286,0.74286
1,2,0.63636,0.5,0.31818,0.38889,0.63636,0.63636,0.63636
1,3,0.61538,0.5,0.30769,0.38095,0.61538,0.61538,0.61538
1,4,0.375,0.5,0.1875,0.27273,0.375,0.375,0.375
1,5,0.98161,0.5,0.4908,0.49536,0.98161,0.98161,0.98161
1,6,0.81818,0.5,0.40909,0.45,0.81818,0.81818,0.81818
1,7,0.76003,0.73958,0.72081,0.72759,0.76003,0.76003,0.76003
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,0,0.93994,0.96995,0.5051,0.49461,0.93994,0.93994,0.93994
2,1,0.83429,0.91667,0.51667,0.4868,0.83429,0.83429,0.83429
2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.96552,0.5,0.48276,0.49123,0.96552,0.96552,0.96552
2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,7,0.77386,0.75744,0.73284,0.7413,0.77386,0.77386,0.77386
2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.94303,0.97141,0.53061,0.54298,0.94303,0.94303,0.94303
3,1,0.83429,0.75194,0.52989,0.51486,0.83429,0.83429,0.83429
3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.375,0.5,0.1875,0.27273,0.375,0.375,0.375
3,5,0.94483,0.5,0.47241,0.48582,0.94483,0.94483,0.94483
3,6,0.98701,0.5,0.49351,0.49673,0.98701,0.98701,0.98701
3,7,0.77317,0.75606,0.73319,0.74123,0.77317,0.77317,0.77317
3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.94365,0.9717,0.53571,0.55211,0.94365,0.94365,0.94365
4,1,0.85714,0.85714,0.59655,0.62223,0.85714,0.85714,0.85714
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
4,5,0.94253,0.5,0.47126,0.48521,0.94253,0.94253,0.94253
4,6,0.98701,0.5,0.49351,0.49673,0.98701,0.98701,0.98701
4,7,0.77524,0.75783,0.73702,0.74458,0.77524,0.77524,0.77524
4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9,0.99818,0.5,0.49909,0.49955,0.99818,0.99818,0.99818
5,0,0.94489,0.97229,0.54592,0.56986,0.94489,0.94489,0.94489
5,1,0.86857,0.87818,0.62989,0.66815,0.86857,0.86857,0.86857
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
5,5,0.92874,0.5,0.46437,0.48153,0.92874,0.92874,0.92874
5,6,0.98701,0.5,0.49351,0.49673,0.98701,0.98701,0.98701
5,7,0.77593,0.75856,0.738,0.7455,0.77593,0.77593,0.77593
5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9,0.99636,0.5,0.49818,0.49909,0.99636,0.99636,0.99636
6,0,0.94675,0.97318,0.56122,0.59531,0.94675,0.94675,0.94675
