round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.75097,0.63045,0.51,0.45622,0.75097,0.75097,0.75097
2,0.77197,0.80117,0.54966,0.52803,0.77197,0.77197,0.77197
3,0.79278,0.80988,0.59882,0.60751,0.79278,0.79278,0.79278
4,0.80052,0.79849,0.62274,0.64082,0.80052,0.80052,0.80052
5,0.80494,0.79847,0.63482,0.65633,0.80494,0.80494,0.80494
6,0.80899,0.79845,0.64616,0.67018,0.80899,0.80899,0.80899
7,0.81046,0.79511,0.65232,0.67723,0.81046,0.81046,0.81046
8,0.81138,0.79298,0.65639,0.68174,0.81138,0.81138,0.81138
9,0.81267,0.79305,0.66021,0.68603,0.81267,0.81267,0.81267
10,0.8158,0.79829,0.666,0.69284,0.8158,0.8158,0.8158
11,0.81673,0.79816,0.66884,0.69591,0.81673,0.81673,0.81673
12,0.81783,0.79971,0.67105,0.69844,0.81783,0.81783,0.81783
13,0.81838,0.79978,0.67266,0.70016,0.81838,0.81838,0.81838
14,0.81949,0.80199,0.67438,0.70221,0.81949,0.81949,0.81949
15,0.82059,0.80455,0.67586,0.70403,0.82059,0.82059,0.82059
16,0.82151,0.80543,0.67795,0.70634,0.82151,0.82151,0.82151
17,0.82207,0.80548,0.67955,0.70802,0.82207,0.82207,0.82207
18,0.82336,0.80684,0.68239,0.71112,0.82336,0.82336,0.82336
19,0.82354,0.80641,0.68325,0.71196,0.82354,0.82354,0.82354
20,0.82483,0.80878,0.68534,0.71438,0.82483,0.82483,0.82483
