round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
1,1,0.66366,0.44483,0.46765,0.44766,0.66366,0.66366,0.66366
1,2,0.56125,0.43472,0.43056,0.43235,0.56125,0.56125,0.56125
1,3,0.58077,0.43262,0.43418,0.43337,0.58077,0.58077,0.58077
1,4,0.51464,0.46467,0.45457,0.44787,0.51464,0.51464,0.51464
1,5,0.36968,0.61522,0.57134,0.36116,0.36968,0.36968,0.36968
1,6,0.63271,0.42782,0.44853,0.43434,0.63271,0.63271,0.63271
1,7,0.80512,0.73947,0.73023,0.73457,0.80512,0.80512,0.80512
1,8,0.54375,0.45192,0.44334,0.44458,0.54375,0.54375,0.54375
1,9,0.74784,0.40285,0.49828,0.42858,0.74784,0.74784,0.74784
2,0,0.75152,0.87567,0.50148,0.43196,0.75152,0.75152,0.75152
2,1,0.75318,0.6807,0.51073,0.45522,0.75318,0.75318,0.75318
2,2,0.75041,0.62004,0.5084,0.45274,0.75041,0.75041,0.75041
2,3,0.75115,0.63479,0.50839,0.45174,0.75115,0.75115,0.75115
2,4,0.75465,0.65219,0.53911,0.51875,0.75465,0.75465,0.75465
2,5,0.57745,0.6636,0.70033,0.57263,0.57745,0.57745,0.57745
2,6,0.75078,0.62637,0.50518,0.44356,0.75078,0.75078,0.75078
2,7,0.8182,0.75911,0.73672,0.74645,0.8182,0.8182,0.8182
2,8,0.75152,0.63715,0.51481,0.46778,0.75152,0.75152,0.75152
2,9,0.75078,0.37539,0.5,0.42883,0.75078,0.75078,0.75078
3,0,0.75889,0.86764,0.51651,0.46297,0.75889,0.75889,0.75889
3,1,0.77344,0.80366,0.55286,0.53364,0.77344,0.77344,0.77344
3,2,0.76957,0.80378,0.54362,0.51697,0.76957,0.76957,0.76957
3,3,0.76994,0.8007,0.54485,0.51935,0.76994,0.76994,0.76994
3,4,0.79315,0.77708,0.61166,0.6259,0.79315,0.79315,0.79315
3,5,0.66311,0.69052,0.75194,0.64906,0.66311,0.66311,0.66311
3,6,0.76644,0.81378,0.53536,0.50117,0.76644,0.76644,0.76644
3,7,0.81894,0.76006,0.73845,0.74789,0.81894,0.81894,0.81894
3,8,0.77804,0.78659,0.56728,0.55904,0.77804,0.77804,0.77804
3,9,0.75631,0.87748,0.51109,0.45188,0.75631,0.75631,0.75631
4,0,0.76312,0.86609,0.52525,0.4803,0.76312,0.76312,0.76312
4,1,0.7926,0.80866,0.5987,0.60735,0.7926,0.7926,0.7926
4,2,0.79186,0.81889,0.59426,0.60057,0.79186,0.79186,0.79186
4,3,0.79149,0.8152,0.59426,0.60065,0.79149,0.79149,0.79149
4,4,0.80678,0.78338,0.64888,0.67254,0.80678,0.80678,0.80678
4,5,0.69608,0.70331,0.77143,0.67804,0.69608,0.69608,0.69608
4,6,0.78504,0.81823,0.57812,0.57557,0.78504,0.78504,0.78504
4,7,0.81838,0.75906,0.73882,0.74774,0.81838,0.81838,0.81838
4,8,0.79886,0.80065,0.61744,0.63377,0.79886,0.79886,0.79886
