round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.93932,0.46966,0.5,0.48436,0.93932,0.93932,0.93932
1,1,0.74286,0.46289,0.47471,0.46607,0.74286,0.74286,0.74286
1,2,0.63636,0.5,0.31818,0.38889,0.63636,0.63636,0.63636
1,3,0.61538,0.5,0.30769,0.38095,0.61538,0.61538,0.61538
1,4,0.375,0.5,0.1875,0.27273,0.375,0.375,0.375
1,5,0.98161,0.5,0.4908,0.49536,0.98161,0.98161,0.98161
1,6,0.81818,0.5,0.40909,0.45,0.81818,0.81818,0.81818
1,7,0.74827,0.72642,0.70507,0.71219,0.74827,0.74827,0.74827
1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,9,0.99818,0.5,0.49909,0.49955,0.99818,0.99818,0.99818
2,0,0.93994,0.96995,0.5051,0.49461,0.93994,0.93994,0.93994
2,1,0.83429,0.91667,0.51667,0.4868,0.83429,0.83429,0.83429
2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,5,0.96782,0.5,0.48391,0.49182,0.96782,0.96782,0.96782
2,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2,7,0.76833,0.75261,0.72324,0.73253,0.76833,0.76833,0.76833
2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,0,0.94241,0.97112,0.52551,0.53367,0.94241,0.94241,0.94241
3,1,0.84,0.91908,0.53333,0.51847,0.84,0.84,0.84
3,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
3,4,0.375,0.5,0.1875,0.27273,0.375,0.375,0.375
3,5,0.94483,0.5,0.47241,0.48582,0.94483,0.94483,0.94483
3,6,0.98701,0.5,0.49351,0.49673,0.98701,0.98701,0.98701
3,7,0.7704,0.75478,0.72617,0.73539,0.7704,0.7704,0.7704
3,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,0,0.94365,0.9717,0.53571,0.55211,0.94365,0.94365,0.94365
4,1,0.85143,0.8427,0.57989,0.59749,0.85143,0.85143,0.85143
4,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,4,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
4,5,0.94253,0.5,0.47126,0.48521,0.94253,0.94253,0.94253
4,6,0.98701,0.5,0.49351,0.49673,0.98701,0.98701,0.98701
4,7,0.77455,0.75887,0.73249,0.74136,0.77455,0.77455,0.77455
4,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,9,0.99818,0.5,0.49909,0.49955,0.99818,0.99818,0.99818
5,0,0.94489,0.97229,0.54592,0.56986,0.94489,0.94489,0.94489
5,1,0.86857,0.87818,0.62989,0.66815,0.86857,0.86857,0.86857
5,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,4,0.5,0.5,0.25,0.33333,0.5,0.5,0.5
5,5,0.92644,0.5,0.46322,0.48091,0.92644,0.92644,0.92644
5,6,0.98701,0.5,0.49351,0.49673,0.98701,0.98701,0.98701
5,7,0.77663,0.76056,0.73631,0.74475,0.77663,0.77663,0.77663
5,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,9,0.99636,0.5,0.49818,0.49909,0.99636,0.99636,0.99636
6,0,0.94675,0.97318,0.56122,0.59531,0.94675,0.94675,0.94675
