round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.3913,0.37817,0.38044,0.3789,0.3913,0.3913,0.3913
2,0.36413,0.33387,0.34637,0.33733,0.36413,0.36413,0.36413
3,0.35326,0.29887,0.32939,0.30812,0.35326,0.35326,0.35326
4,0.5,0.37617,0.45576,0.36836,0.5,0.5,0.5
5,0.5163,0.3597,0.46808,0.35969,0.5163,0.5163,0.5163
6,0.5163,0.41652,0.47166,0.38508,0.5163,0.5163,0.5163
7,0.52717,0.40804,0.47908,0.37408,0.52717,0.52717,0.52717
8,0.55435,0.52976,0.50956,0.42978,0.55435,0.55435,0.55435
9,0.55978,0.57933,0.50849,0.39035,0.55978,0.55978,0.55978
10,0.57065,0.68212,0.51949,0.40541,0.57065,0.57065,0.57065
11,0.58152,0.61095,0.53766,0.46799,0.58152,0.58152,0.58152
12,0.57609,0.65909,0.52678,0.42638,0.57609,0.57609,0.57609
13,0.61413,0.65121,0.57664,0.53725,0.61413,0.61413,0.61413
14,0.61413,0.65874,0.57544,0.53221,0.61413,0.61413,0.61413
15,0.61413,0.6785,0.57305,0.52138,0.61413,0.61413,0.61413
16,0.59239,0.65661,0.54747,0.47503,0.59239,0.59239,0.59239
17,0.6087,0.67073,0.56695,0.51172,0.6087,0.6087,0.6087
18,0.59783,0.68403,0.55237,0.47855,0.59783,0.59783,0.59783
19,0.63043,0.68841,0.59254,0.55442,0.63043,0.63043,0.63043
20,0.63587,0.66587,0.60342,0.58021,0.63587,0.63587,0.63587
