round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.44565,0.47222,0.49761,0.32421,0.44565,0.44565,0.44565
1,1,0.3913,0.33134,0.3649,0.33847,0.3913,0.3913,0.3913
1,2,0.40217,0.33946,0.3747,0.34583,0.40217,0.40217,0.40217
1,3,0.44022,0.45376,0.45923,0.43133,0.44022,0.44022,0.44022
2,0,0.44565,0.47253,0.4988,0.31643,0.44565,0.44565,0.44565
2,1,0.40761,0.32313,0.37602,0.33446,0.40761,0.40761,0.40761
2,2,0.41304,0.34156,0.38331,0.34829,0.41304,0.41304,0.41304
2,3,0.39674,0.40386,0.40686,0.39529,0.39674,0.39674,0.39674
3,0,0.44565,0.47253,0.4988,0.31643,0.44565,0.44565,0.44565
3,1,0.50543,0.36627,0.45947,0.36303,0.50543,0.50543,0.50543
3,2,0.41848,0.33112,0.38582,0.34125,0.41848,0.41848,0.41848
3,3,0.40217,0.41003,0.41416,0.39962,0.40217,0.40217,0.40217
4,0,0.45109,0.72404,0.5049,0.31914,0.45109,0.45109,0.45109
4,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
4,2,0.52174,0.33239,0.47178,0.35284,0.52174,0.52174,0.52174
4,3,0.375,0.34688,0.40878,0.32729,0.375,0.375,0.375
5,0,0.45652,0.72527,0.5098,0.32984,0.45652,0.45652,0.45652
5,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
5,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
5,3,0.50543,0.54209,0.5324,0.48687,0.50543,0.50543,0.50543
6,0,0.4837,0.73164,0.53431,0.38082,0.4837,0.4837,0.4837
6,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
6,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
6,3,0.52717,0.57066,0.5544,0.50942,0.52717,0.52717,0.52717
7,0,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
7,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
7,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
7,3,0.58152,0.65421,0.61179,0.56184,0.58152,0.58152,0.58152
8,0,0.49457,0.657,0.54173,0.41186,0.49457,0.49457,0.49457
8,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
8,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
8,3,0.58696,0.65844,0.61669,0.56855,0.58696,0.58696,0.58696
9,0,0.5,0.6938,0.54782,0.41539,0.5,0.5,0.5
9,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
9,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
9,3,0.59783,0.68075,0.62889,0.57788,0.59783,0.59783,0.59783
10,0,0.5,0.73563,0.54902,0.4096,0.5,0.5,0.5
10,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
10,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
10,3,0.60326,0.69256,0.63498,0.58253,0.60326,0.60326,0.60326
11,0,0.47826,0.73034,0.52941,0.37094,0.47826,0.47826,0.47826
11,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
11,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
11,3,0.60326,0.69256,0.63498,0.58253,0.60326,0.60326,0.60326
12,0,0.5,0.66387,0.54663,0.42091,0.5,0.5,0.5
12,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
12,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
12,3,0.60326,0.69256,0.63498,0.58253,0.60326,0.60326,0.60326
13,0,0.50543,0.69838,0.55273,0.42451,0.50543,0.50543,0.50543
13,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
13,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
13,3,0.59783,0.68075,0.62889,0.57788,0.59783,0.59783,0.59783
14,0,0.50543,0.69838,0.55273,0.42451,0.50543,0.50543,0.50543
14,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
14,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
14,3,0.60326,0.69256,0.63498,0.58253,0.60326,0.60326,0.60326
15,0,0.50543,0.69838,0.55273,0.42451,0.50543,0.50543,0.50543
15,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
15,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
15,3,0.59783,0.68075,0.62889,0.57788,0.59783,0.59783,0.59783
16,0,0.50543,0.67002,0.55153,0.42984,0.50543,0.50543,0.50543
16,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
16,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
16,3,0.59783,0.68075,0.62889,0.57788,0.59783,0.59783,0.59783
17,0,0.52717,0.6709,0.56994,0.46879,0.52717,0.52717,0.52717
17,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
17,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
17,3,0.61413,0.68497,0.6424,0.59964,0.61413,0.61413,0.61413
18,0,0.55435,0.69231,0.59445,0.50885,0.55435,0.55435,0.55435
18,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
18,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
18,3,0.6087,0.68831,0.63869,0.59126,0.6087,0.6087,0.6087
19,0,0.5163,0.66045,0.56014,0.45207,0.5163,0.5163,0.5163
19,1,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
19,2,0.55978,0.77869,0.5061,0.36994,0.55978,0.55978,0.55978
19,3,0.625,0.69244,0.6522,0.61254,0.625,0.625,0.625
20,0,0.5,0.6938,0.54782,0.41539,0.5,0.5,0.5
20,1,0.55978,0.77869,0.5061,0.36994,0.55978,0.55978,0.55978
20,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
20,3,0.61413,0.68497,0.6424,0.59964,0.61413,0.61413,0.61413
