round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.78571,0.42308,0.45833,0.44,0.78571,0.78571,0.78571
1,1,0.4878,0.36925,0.36212,0.36551,0.4878,0.4878,0.4878
1,2,0.21429,0.21429,0.20833,0.21026,0.21429,0.21429,0.21429
1,3,0.6,0.66667,0.75,0.58333,0.6,0.6,0.6
2,0,0.78571,0.42308,0.45833,0.44,0.78571,0.78571,0.78571
2,1,0.4878,0.32258,0.33333,0.32787,0.4878,0.4878,0.4878
2,2,0.21429,0.21429,0.20833,0.21026,0.21429,0.21429,0.21429
2,3,0.8,0.75,0.875,0.7619,0.8,0.8,0.8
3,0,0.85714,0.42857,0.5,0.46154,0.85714,0.85714,0.85714
3,1,0.58537,0.34286,0.4,0.36923,0.58537,0.58537,0.58537
3,2,0.14286,0.125,0.125,0.125,0.14286,0.14286,0.14286
3,3,0.8,0.75,0.875,0.7619,0.8,0.8,0.8
4,0,0.85714,0.42857,0.5,0.46154,0.85714,0.85714,0.85714
4,1,0.73171,0.36585,0.5,0.42254,0.73171,0.73171,0.73171
4,2,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
4,3,0.8,0.4,0.5,0.44444,0.8,0.8,0.8
5,0,0.85714,0.42857,0.5,0.46154,0.85714,0.85714,0.85714
5,1,0.73171,0.36585,0.5,0.42254,0.73171,0.73171,0.73171
5,2,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
5,3,0.8,0.4,0.5,0.44444,0.8,0.8,0.8
6,0,0.85714,0.42857,0.5,0.46154,0.85714,0.85714,0.85714
6,1,0.73171,0.36585,0.5,0.42254,0.73171,0.73171,0.73171
6,2,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
6,3,0.8,0.4,0.5,0.44444,0.8,0.8,0.8
7,0,0.85714,0.42857,0.5,0.46154,0.85714,0.85714,0.85714
7,1,0.73171,0.36585,0.5,0.42254,0.73171,0.73171,0.73171
7,2,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
7,3,0.8,0.4,0.5,0.44444,0.8,0.8,0.8
8,0,0.85714,0.42857,0.5,0.46154,0.85714,0.85714,0.85714
8,1,0.73171,0.36585,0.5,0.42254,0.73171,0.73171,0.73171
8,2,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
8,3,0.8,0.4,0.5,0.44444,0.8,0.8,0.8
9,0,0.85714,0.42857,0.5,0.46154,0.85714,0.85714,0.85714
9,1,0.73171,0.36585,0.5,0.42254,0.73171,0.73171,0.73171
9,2,0.57143,0.28571,0.5,0.36364,0.57143,0.57143,0.57143
9,3,0.8,0.4,0.5,0.44444,0.8,0.8,0.8
10,0,0.85714,0.42857,0.5,0.46154,0.85714,0.85714,0.85714
