round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
2,0.64674,0.67802,0.66463,0.6437,0.64674,0.64674,0.64674
3,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
4,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
5,0.5,0.62383,0.54424,0.43118,0.5,0.5,0.5
6,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
7,0.51087,0.62402,0.55285,0.45267,0.51087,0.51087,0.51087
8,0.68478,0.69075,0.66667,0.66566,0.68478,0.68478,0.68478
9,0.53261,0.64752,0.57245,0.4849,0.53261,0.53261,0.53261
10,0.61957,0.63739,0.58752,0.56339,0.61957,0.61957,0.61957
11,0.72283,0.71981,0.71652,0.71761,0.72283,0.72283,0.72283
12,0.50543,0.64829,0.55033,0.43492,0.50543,0.50543,0.50543
13,0.50543,0.61715,0.54794,0.44437,0.50543,0.50543,0.50543
14,0.53804,0.44095,0.48888,0.37954,0.53804,0.53804,0.53804
15,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
16,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
17,0.71196,0.70968,0.70313,0.70462,0.71196,0.71196,0.71196
18,0.70652,0.70639,0.69464,0.69615,0.70652,0.70652,0.70652
19,0.70109,0.69905,0.69094,0.69235,0.70109,0.70109,0.70109
20,0.55978,0.54993,0.51327,0.42533,0.55978,0.55978,0.55978
