round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.44565,0.22283,0.5,0.30827,0.44565,0.44565,0.44565
1,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
1,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
1,3,0.6087,0.70486,0.64108,0.58719,0.6087,0.6087,0.6087
2,0,0.55435,0.67857,0.59326,0.51235,0.55435,0.55435,0.55435
2,1,0.59239,0.62474,0.55105,0.49441,0.59239,0.59239,0.59239
2,2,0.56522,0.68658,0.60306,0.52748,0.56522,0.56522,0.56522
2,3,0.57609,0.68314,0.61167,0.54513,0.57609,0.57609,0.57609
3,0,0.46739,0.72778,0.51961,0.35071,0.46739,0.46739,0.46739
3,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
3,2,0.50543,0.64829,0.55033,0.43492,0.50543,0.50543,0.50543
3,3,0.56522,0.67516,0.60187,0.53055,0.56522,0.56522,0.56522
4,0,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
4,1,0.54348,0.27473,0.4902,0.35211,0.54348,0.54348,0.54348
4,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
4,3,0.55978,0.55307,0.51208,0.41724,0.55978,0.55978,0.55978
5,0,0.46739,0.72778,0.51961,0.35071,0.46739,0.46739,0.46739
5,1,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
5,2,0.52717,0.27095,0.47549,0.3452,0.52717,0.52717,0.52717
5,3,0.56522,0.6651,0.60067,0.53347,0.56522,0.56522,0.56522
6,0,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
6,1,0.46739,0.72778,0.51961,0.35071,0.46739,0.46739,0.46739
6,2,0.54891,0.51374,0.50466,0.42653,0.54891,0.54891,0.54891
6,3,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
7,0,0.57065,0.61422,0.59481,0.55972,0.57065,0.57065,0.57065
7,1,0.50543,0.6311,0.54914,0.43976,0.50543,0.50543,0.50543
7,2,0.51087,0.62402,0.55285,0.45267,0.51087,0.51087,0.51087
7,3,0.66304,0.68059,0.67575,0.66241,0.66304,0.66304,0.66304
8,0,0.48913,0.62521,0.53563,0.40832,0.48913,0.48913,0.48913
8,1,0.71739,0.71408,0.71162,0.7125,0.71739,0.71739,0.71739
8,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
8,3,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
9,0,0.53804,0.65263,0.57736,0.49272,0.53804,0.53804,0.53804
9,1,0.50543,0.6311,0.54914,0.43976,0.50543,0.50543,0.50543
9,2,0.6087,0.68831,0.63869,0.59126,0.6087,0.6087,0.6087
9,3,0.56522,0.57364,0.51817,0.42848,0.56522,0.56522,0.56522
10,0,0.49457,0.657,0.54173,0.41186,0.49457,0.49457,0.49457
10,1,0.54348,0.47586,0.49498,0.3913,0.54348,0.54348,0.54348
10,2,0.54891,0.50473,0.50108,0.40285,0.54891,0.54891,0.54891
10,3,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
11,0,0.49457,0.657,0.54173,0.41186,0.49457,0.49457,0.49457
11,1,0.61413,0.66722,0.63881,0.6043,0.61413,0.61413,0.61413
11,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
11,3,0.58152,0.66888,0.61418,0.55735,0.58152,0.58152,0.58152
12,0,0.57609,0.6499,0.60689,0.55506,0.57609,0.57609,0.57609
12,1,0.47826,0.66761,0.52822,0.37759,0.47826,0.47826,0.47826
12,2,0.51087,0.6378,0.55404,0.44822,0.51087,0.51087,0.51087
12,3,0.59783,0.63412,0.55715,0.50408,0.59783,0.59783,0.59783
13,0,0.55978,0.66075,0.59577,0.52618,0.55978,0.55978,0.55978
13,1,0.47826,0.66761,0.52822,0.37759,0.47826,0.47826,0.47826
13,2,0.69022,0.68865,0.6907,0.68866,0.69022,0.69022,0.69022
13,3,0.70109,0.6981,0.69931,0.69851,0.70109,0.70109,0.70109
14,0,0.56522,0.60956,0.58991,0.55334,0.56522,0.56522,0.56522
14,1,0.54348,0.27473,0.4902,0.35211,0.54348,0.54348,0.54348
14,2,0.55978,0.54498,0.51686,0.44732,0.55978,0.55978,0.55978
14,3,0.47826,0.66761,0.52822,0.37759,0.47826,0.47826,0.47826
15,0,0.54348,0.63734,0.57987,0.50708,0.54348,0.54348,0.54348
15,1,0.46739,0.72778,0.51961,0.35071,0.46739,0.46739,0.46739
15,2,0.55978,0.54498,0.51686,0.44732,0.55978,0.55978,0.55978
15,3,0.57609,0.68314,0.61167,0.54513,0.57609,0.57609,0.57609
16,0,0.53804,0.66528,0.57855,0.48901,0.53804,0.53804,0.53804
16,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
16,2,0.56522,0.56091,0.52176,0.45075,0.56522,0.56522,0.56522
16,3,0.56522,0.57364,0.51817,0.42848,0.56522,0.56522,0.56522
17,0,0.53804,0.65263,0.57736,0.49272,0.53804,0.53804,0.53804
17,1,0.56522,0.56807,0.51937,0.43627,0.56522,0.56522,0.56522
17,2,0.55978,0.67099,0.59696,0.52315,0.55978,0.55978,0.55978
17,3,0.59239,0.67687,0.62398,0.5711,0.59239,0.59239,0.59239
18,0,0.58152,0.64788,0.61059,0.56389,0.58152,0.58152,0.58152
18,1,0.59783,0.61212,0.56193,0.52511,0.59783,0.59783,0.59783
18,2,0.63587,0.67393,0.65603,0.63106,0.63587,0.63587,0.63587
18,3,0.59783,0.63412,0.55715,0.50408,0.59783,0.59783,0.59783
19,0,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
19,1,0.59239,0.60781,0.55464,0.51118,0.59239,0.59239,0.59239
19,2,0.65217,0.66202,0.66117,0.65213,0.65217,0.65217,0.65217
19,3,0.58152,0.62032,0.53647,0.46103,0.58152,0.58152,0.58152
20,0,0.5,0.6938,0.54782,0.41539,0.5,0.5,0.5
20,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
20,2,0.60326,0.61997,0.56803,0.53385,0.60326,0.60326,0.60326
20,3,0.58696,0.62249,0.54376,0.47821,0.58696,0.58696,0.58696
