round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.58152,0.68696,0.61657,0.55231,0.58152,0.58152,0.58152
2,0.66304,0.68672,0.67814,0.6616,0.66304,0.66304,0.66304
3,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
4,0.6087,0.62353,0.57532,0.5468,0.6087,0.6087,0.6087
5,0.6087,0.69618,0.63989,0.58929,0.6087,0.6087,0.6087
6,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
7,0.49457,0.63373,0.54053,0.41731,0.49457,0.49457,0.49457
8,0.63043,0.69612,0.6571,0.61891,0.63043,0.63043,0.63043
9,0.58696,0.68133,0.62028,0.5619,0.58696,0.58696,0.58696
10,0.72283,0.72031,0.71533,0.71673,0.72283,0.72283,0.72283
11,0.71196,0.70864,0.70552,0.70654,0.71196,0.71196,0.71196
12,0.51087,0.6378,0.55404,0.44822,0.51087,0.51087,0.51087
13,0.51087,0.65462,0.55524,0.44355,0.51087,0.51087,0.51087
14,0.57065,0.57855,0.52666,0.45417,0.57065,0.57065,0.57065
15,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
16,0.70652,0.70639,0.69464,0.69615,0.70652,0.70652,0.70652
17,0.56522,0.56807,0.51937,0.43627,0.56522,0.56522,0.56522
18,0.67935,0.68552,0.66057,0.65895,0.67935,0.67935,0.67935
19,0.71196,0.70968,0.70313,0.70462,0.71196,0.71196,0.71196
20,0.56522,0.55854,0.52296,0.45747,0.56522,0.56522,0.56522
