round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.44565,0.22283,0.5,0.30827,0.44565,0.44565,0.44565
1,1,0.57609,0.60672,0.53037,0.45037,0.57609,0.57609,0.57609
1,2,0.44565,0.22283,0.5,0.30827,0.44565,0.44565,0.44565
1,3,0.6087,0.70486,0.64108,0.58719,0.6087,0.6087,0.6087
2,0,0.44565,0.22283,0.5,0.30827,0.44565,0.44565,0.44565
2,1,0.69022,0.69823,0.67157,0.67051,0.69022,0.69022,0.69022
2,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
2,3,0.45109,0.72404,0.5049,0.31914,0.45109,0.45109,0.45109
3,0,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
3,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
3,2,0.52174,0.66585,0.56504,0.46048,0.52174,0.52174,0.52174
3,3,0.56522,0.68658,0.60306,0.52748,0.56522,0.56522,0.56522
4,0,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
4,1,0.54348,0.27473,0.4902,0.35211,0.54348,0.54348,0.54348
4,2,0.63043,0.65213,0.64515,0.62886,0.63043,0.63043,0.63043
4,3,0.45652,0.72527,0.5098,0.32984,0.45652,0.45652,0.45652
5,0,0.46739,0.72778,0.51961,0.35071,0.46739,0.46739,0.46739
5,1,0.6087,0.69618,0.63989,0.58929,0.6087,0.6087,0.6087
5,2,0.52717,0.27095,0.47549,0.3452,0.52717,0.52717,0.52717
5,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
6,0,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
6,1,0.46196,0.72652,0.51471,0.34036,0.46196,0.46196,0.46196
6,2,0.56522,0.56807,0.51937,0.43627,0.56522,0.56522,0.56522
6,3,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
7,0,0.57609,0.63768,0.6045,0.55921,0.57609,0.57609,0.57609
7,1,0.4837,0.61561,0.53073,0.39921,0.4837,0.4837,0.4837
7,2,0.49457,0.61589,0.53934,0.4225,0.49457,0.49457,0.49457
7,3,0.63043,0.68998,0.65591,0.62034,0.63043,0.63043,0.63043
8,0,0.48913,0.64922,0.53682,0.40268,0.48913,0.48913,0.48913
8,1,0.59783,0.68075,0.62889,0.57788,0.59783,0.59783,0.59783
8,2,0.67935,0.68552,0.66057,0.65895,0.67935,0.67935,0.67935
8,3,0.58696,0.67292,0.61908,0.56425,0.58696,0.58696,0.58696
9,0,0.52717,0.64214,0.56755,0.47698,0.52717,0.52717,0.52717
9,1,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
9,2,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
9,3,0.59239,0.67687,0.62398,0.5711,0.59239,0.59239,0.59239
10,0,0.51087,0.65462,0.55524,0.44355,0.51087,0.51087,0.51087
10,1,0.55435,0.52907,0.50717,0.41419,0.55435,0.55435,0.55435
