round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.38587,0.38849,0.38749,0.38542,0.38587,0.38587,0.38587
2,0.36957,0.37069,0.3692,0.36837,0.36957,0.36957,0.36957
3,0.36957,0.36545,0.36442,0.36476,0.36957,0.36957,0.36957
4,0.35326,0.34825,0.34732,0.34769,0.35326,0.35326,0.35326
5,0.375,0.34577,0.35736,0.34866,0.375,0.375,0.375
6,0.44565,0.36842,0.41272,0.36935,0.44565,0.44565,0.44565
7,0.50543,0.46718,0.47621,0.44876,0.50543,0.50543,0.50543
8,0.5,0.5,0.5,0.49852,0.5,0.5,0.5
9,0.53261,0.50278,0.50191,0.47274,0.53261,0.53261,0.53261
10,0.53804,0.51931,0.51638,0.5058,0.53804,0.53804,0.53804
11,0.52717,0.51115,0.51016,0.50493,0.52717,0.52717,0.52717
12,0.57065,0.56208,0.56014,0.55972,0.57065,0.57065,0.57065
13,0.58696,0.58286,0.58321,0.58297,0.58696,0.58696,0.58696
14,0.6087,0.60476,0.60521,0.60491,0.6087,0.6087,0.6087
15,0.61957,0.63538,0.63176,0.61884,0.61957,0.61957,0.61957
16,0.63587,0.64082,0.64168,0.63577,0.63587,0.63587,0.63587
17,0.64674,0.66789,0.66105,0.64547,0.64674,0.64674,0.64674
18,0.66304,0.65974,0.65065,0.65113,0.66304,0.66304,0.66304
19,0.66848,0.66597,0.65555,0.65603,0.66848,0.66848,0.66848
20,0.69565,0.69201,0.68843,0.68945,0.69565,0.69565,0.69565
