round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.45109,0.46919,0.47501,0.43505,0.45109,0.45109,0.45109
1,1,0.38587,0.38849,0.38749,0.38542,0.38587,0.38587,0.38587
1,2,0.38043,0.36913,0.37064,0.36971,0.38043,0.38043,0.38043
1,3,0.38587,0.37365,0.37554,0.37432,0.38587,0.38587,0.38587
2,0,0.46739,0.49142,0.4933,0.44856,0.46739,0.46739,0.46739
2,1,0.36413,0.36352,0.36191,0.36185,0.36413,0.36413,0.36413
2,2,0.36413,0.36471,0.3631,0.36261,0.36413,0.36413,0.36413
2,3,0.36957,0.34155,0.35246,0.34447,0.36957,0.36957,0.36957
3,0,0.44565,0.47059,0.49163,0.35796,0.44565,0.44565,0.44565
3,1,0.35326,0.335,0.34015,0.33679,0.35326,0.35326,0.35326
3,2,0.36413,0.31696,0.34158,0.32368,0.36413,0.36413,0.36413
3,3,0.3587,0.33634,0.34385,0.33869,0.3587,0.3587,0.3587
4,0,0.42935,0.36037,0.47932,0.31565,0.42935,0.42935,0.42935
4,1,0.35326,0.33211,0.33895,0.33437,0.35326,0.35326,0.35326
4,2,0.34783,0.31406,0.32927,0.31877,0.34783,0.34783,0.34783
4,3,0.35326,0.335,0.34015,0.33679,0.35326,0.35326,0.35326
5,0,0.41848,0.37968,0.46353,0.32959,0.41848,0.41848,0.41848
5,1,0.36413,0.33735,0.34756,0.34026,0.36413,0.36413,0.36413
5,2,0.51087,0.39286,0.46557,0.37415,0.51087,0.51087,0.51087
5,3,0.36413,0.31184,0.34039,0.31975,0.36413,0.36413,0.36413
6,0,0.4837,0.67587,0.53312,0.38725,0.4837,0.4837,0.4837
6,1,0.5,0.37617,0.45576,0.36836,0.5,0.5,0.5
6,2,0.53261,0.39773,0.48278,0.36755,0.53261,0.53261,0.53261
6,3,0.52717,0.34262,0.47669,0.35532,0.52717,0.52717,0.52717
7,0,0.53804,0.58118,0.5642,0.52269,0.53804,0.53804,0.53804
7,1,0.51087,0.47826,0.4835,0.46094,0.51087,0.51087,0.51087
7,2,0.5,0.39024,0.45696,0.37609,0.5,0.5,0.5
7,3,0.54891,0.47654,0.49749,0.3753,0.54891,0.54891,0.54891
8,0,0.59239,0.66939,0.62279,0.57322,0.59239,0.59239,0.59239
8,1,0.53261,0.55417,0.54974,0.52809,0.53261,0.53261,0.53261
8,2,0.52717,0.51115,0.51016,0.50493,0.52717,0.52717,0.52717
8,3,0.52717,0.42578,0.48027,0.38276,0.52717,0.52717,0.52717
9,0,0.58696,0.65844,0.61669,0.56855,0.58696,0.58696,0.58696
9,1,0.53804,0.50709,0.50442,0.46743,0.53804,0.53804,0.53804
9,2,0.53804,0.41687,0.48769,0.37014,0.53804,0.53804,0.53804
9,3,0.54891,0.44291,0.49629,0.36512,0.54891,0.54891,0.54891
10,0,0.59239,0.66939,0.62279,0.57322,0.59239,0.59239,0.59239
10,1,0.53804,0.52031,0.51758,0.50866,0.53804,0.53804,0.53804
10,2,0.53804,0.49673,0.49845,0.43997,0.53804,0.53804,0.53804
10,3,0.54891,0.44291,0.49629,0.36512,0.54891,0.54891,0.54891
11,0,0.58696,0.65844,0.61669,0.56855,0.58696,0.58696,0.58696
11,1,0.55978,0.55316,0.55273,0.5528,0.55978,0.55978,0.55978
11,2,0.53804,0.46716,0.49127,0.39695,0.53804,0.53804,0.53804
11,3,0.53261,0.42299,0.48398,0.37681,0.53261,0.53261,0.53261
12,0,0.59239,0.66939,0.62279,0.57322,0.59239,0.59239,0.59239
12,1,0.59783,0.65493,0.6241,0.58528,0.59783,0.59783,0.59783
12,2,0.55435,0.52747,0.5012,0.36754,0.55435,0.55435,0.55435
12,3,0.54891,0.51563,0.50586,0.43368,0.54891,0.54891,0.54891
13,0,0.58152,0.64788,0.61059,0.56389,0.58152,0.58152,0.58152
13,1,0.58152,0.64788,0.61059,0.56389,0.58152,0.58152,0.58152
13,2,0.57065,0.55871,0.55177,0.54585,0.57065,0.57065,0.57065
13,3,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
14,0,0.60326,0.69256,0.63498,0.58253,0.60326,0.60326,0.60326
14,1,0.60326,0.61518,0.61346,0.60297,0.60326,0.60326,0.60326
14,2,0.56522,0.55668,0.52415,0.46387,0.56522,0.56522,0.56522
14,3,0.57609,0.5917,0.53276,0.46448,0.57609,0.57609,0.57609
15,0,0.60326,0.69256,0.63498,0.58253,0.60326,0.60326,0.60326
15,1,0.63587,0.63184,0.62016,0.61874,0.63587,0.63587,0.63587
15,2,0.61413,0.62238,0.62207,0.61412,0.61413,0.61413,0.61413
15,3,0.6087,0.60597,0.58489,0.57473,0.6087,0.6087,0.6087
16,0,0.625,0.67033,0.64742,0.61795,0.625,0.625,0.625
16,1,0.64674,0.65546,0.65507,0.64673,0.64674,0.64674,0.64674
16,2,0.63043,0.62506,0.61645,0.61572,0.63043,0.63043,0.63043
16,3,0.6413,0.63591,0.63104,0.63151,0.6413,0.6413,0.6413
17,0,0.60326,0.69256,0.63498,0.58253,0.60326,0.60326,0.60326
17,1,0.59783,0.68075,0.62889,0.57788,0.59783,0.59783,0.59783
17,2,0.6413,0.64039,0.62267,0.61955,0.6413,0.6413,0.6413
17,3,0.57065,0.61619,0.52188,0.42333,0.57065,0.57065,0.57065
18,0,0.61957,0.69565,0.64849,0.60442,0.61957,0.61957,0.61957
18,1,0.66848,0.67043,0.67229,0.668,0.66848,0.66848,0.66848
18,2,0.60326,0.61997,0.56803,0.53385,0.60326,0.60326,0.60326
18,3,0.6087,0.67073,0.56695,0.51172,0.6087,0.6087,0.6087
19,0,0.63587,0.67393,0.65603,0.63106,0.63587,0.63587,0.63587
19,1,0.68478,0.68108,0.67623,0.67731,0.68478,0.68478,0.68478
19,2,0.66304,0.66304,0.66499,0.66205,0.66304,0.66304,0.66304
19,3,0.57065,0.78177,0.51829,0.39572,0.57065,0.57065,0.57065
20,0,0.6087,0.68116,0.63749,0.59312,0.6087,0.6087,0.6087
20,1,0.66304,0.68672,0.67814,0.6616,0.66304,0.66304,0.66304
20,2,0.6087,0.62747,0.57413,0.54248,0.6087,0.6087,0.6087
20,3,0.58696,0.63244,0.54256,0.4715,0.58696,0.58696,0.58696
