round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.57895,0.65,0.61932,0.56818,0.57895,0.57895,0.57895
1,1,0.26316,0.26111,0.26111,0.26111,0.26316,0.26316,0.26316
1,2,0.66667,0.64935,0.64935,0.64935,0.66667,0.66667,0.66667
1,3,0.33333,0.3375,0.3375,0.33333,0.33333,0.33333,0.33333
2,0,0.57895,0.65,0.61932,0.56818,0.57895,0.57895,0.57895
2,1,0.26316,0.26111,0.26111,0.26111,0.26316,0.26316,0.26316
2,2,0.55556,0.55556,0.55844,0.55,0.55556,0.55556,0.55556
2,3,0.33333,0.325,0.325,0.325,0.33333,0.33333,0.33333
3,0,0.47368,0.72222,0.54545,0.39103,0.47368,0.47368,0.47368
3,1,0.31579,0.30952,0.32222,0.30812,0.31579,0.31579,0.31579
3,2,0.5,0.28125,0.40909,0.33333,0.5,0.5,0.5
3,3,0.38889,0.37013,0.375,0.37143,0.38889,0.38889,0.38889
4,0,0.42105,0.21053,0.5,0.2963,0.42105,0.42105,0.42105
4,1,0.31579,0.30952,0.32222,0.30812,0.31579,0.31579,0.31579
4,2,0.44444,0.26667,0.36364,0.30769,0.44444,0.44444,0.44444
4,3,0.33333,0.29167,0.3125,0.2987,0.33333,0.33333,0.33333
5,0,0.42105,0.21053,0.5,0.2963,0.42105,0.42105,0.42105
5,1,0.31579,0.30952,0.32222,0.30812,0.31579,0.31579,0.31579
5,2,0.55556,0.29412,0.45455,0.35714,0.55556,0.55556,0.55556
5,3,0.33333,0.29167,0.3125,0.2987,0.33333,0.33333,0.33333
6,0,0.42105,0.21053,0.5,0.2963,0.42105,0.42105,0.42105
6,1,0.42105,0.22222,0.44444,0.2963,0.42105,0.42105,0.42105
6,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
6,3,0.44444,0.25,0.4,0.30769,0.44444,0.44444,0.44444
7,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
7,1,0.52632,0.55,0.53889,0.50435,0.52632,0.52632,0.52632
7,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
7,3,0.61111,0.79412,0.5625,0.48148,0.61111,0.61111,0.61111
8,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
8,1,0.57895,0.57738,0.57222,0.56818,0.57895,0.57895,0.57895
8,2,0.5,0.41071,0.43506,0.41091,0.5,0.5,0.5
8,3,0.61111,0.63333,0.575,0.54182,0.61111,0.61111,0.61111
9,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
9,1,0.42105,0.38542,0.43889,0.35692,0.42105,0.42105,0.42105
9,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
9,3,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
10,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
10,1,0.52632,0.55,0.53889,0.50435,0.52632,0.52632,0.52632
10,2,0.66667,0.82353,0.57143,0.51786,0.66667,0.66667,0.66667
10,3,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
11,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
11,1,0.63158,0.64881,0.63889,0.62745,0.63158,0.63158,0.63158
11,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
11,3,0.61111,0.63333,0.575,0.54182,0.61111,0.61111,0.61111
12,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
12,1,0.63158,0.64103,0.62222,0.61449,0.63158,0.63158,0.63158
12,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
12,3,0.61111,0.63333,0.575,0.54182,0.61111,0.61111,0.61111
13,0,0.57895,0.65,0.61932,0.56818,0.57895,0.57895,0.57895
13,1,0.68421,0.72143,0.67222,0.66071,0.68421,0.68421,0.68421
13,2,0.55556,0.53247,0.53247,0.53247,0.55556,0.55556,0.55556
13,3,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
14,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
14,1,0.78947,0.78889,0.78889,0.78889,0.78947,0.78947,0.78947
14,2,0.66667,0.82353,0.57143,0.51786,0.66667,0.66667,0.66667
14,3,0.61111,0.63333,0.575,0.54182,0.61111,0.61111,0.61111
15,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
15,1,0.63158,0.64881,0.63889,0.62745,0.63158,0.63158,0.63158
15,2,0.44444,0.46753,0.46753,0.44444,0.44444,0.44444,0.44444
15,3,0.77778,0.79167,0.7625,0.76623,0.77778,0.77778,0.77778
16,0,0.63158,0.6859,0.66477,0.62745,0.63158,0.63158,0.63158
16,1,0.78947,0.78889,0.78889,0.78889,0.78947,0.78947,0.78947
16,2,0.61111,0.6,0.6039,0.6,0.61111,0.61111,0.61111
16,3,0.72222,0.72222,0.725,0.72136,0.72222,0.72222,0.72222
17,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
17,1,0.73684,0.76282,0.72778,0.72464,0.73684,0.73684,0.73684
17,2,0.61111,0.6,0.6039,0.6,0.61111,0.61111,0.61111
17,3,0.55556,0.53125,0.5125,0.44615,0.55556,0.55556,0.55556
18,0,0.68421,0.78571,0.72727,0.67614,0.68421,0.68421,0.68421
18,1,0.78947,0.78889,0.78889,0.78889,0.78947,0.78947,0.78947
18,2,0.77778,0.78462,0.74026,0.75,0.77778,0.77778,0.77778
18,3,0.55556,0.53125,0.5125,0.44615,0.55556,0.55556,0.55556
19,0,0.63158,0.6859,0.66477,0.62745,0.63158,0.63158,0.63158
19,1,0.68421,0.69318,0.68889,0.68333,0.68421,0.68421,0.68421
19,2,0.5,0.5125,0.51299,0.49845,0.5,0.5,0.5
19,3,0.55556,0.53125,0.5125,0.44615,0.55556,0.55556,0.55556
20,0,0.68421,0.78571,0.72727,0.67614,0.68421,0.68421,0.68421
20,1,0.78947,0.78889,0.78889,0.78889,0.78947,0.78947,0.78947
20,2,0.77778,0.78462,0.74026,0.75,0.77778,0.77778,0.77778
20,3,0.61111,0.63333,0.575,0.54182,0.61111,0.61111,0.61111
21,0,0.68421,0.78571,0.72727,0.67614,0.68421,0.68421,0.68421
21,1,0.78947,0.78889,0.78889,0.78889,0.78947,0.78947,0.78947
21,2,0.77778,0.78462,0.74026,0.75,0.77778,0.77778,0.77778
21,3,0.61111,0.63333,0.575,0.54182,0.61111,0.61111,0.61111
