round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.57065,0.69039,0.60796,0.53492,0.57065,0.57065,0.57065
2,0.4837,0.61561,0.53073,0.39921,0.4837,0.4837,0.4837
3,0.48913,0.62521,0.53563,0.40832,0.48913,0.48913,0.48913
4,0.70652,0.70437,0.69703,0.69851,0.70652,0.70652,0.70652
5,0.63587,0.66613,0.65363,0.63273,0.63587,0.63587,0.63587
6,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
7,0.52174,0.66585,0.56504,0.46048,0.52174,0.52174,0.52174
8,0.66304,0.6673,0.66858,0.66288,0.66304,0.66304,0.66304
9,0.61957,0.62777,0.5911,0.5743,0.61957,0.61957,0.61957
10,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
11,0.69022,0.70085,0.67037,0.66859,0.69022,0.69022,0.69022
12,0.71739,0.71679,0.70684,0.70858,0.71739,0.71739,0.71739
13,0.69022,0.68965,0.69189,0.68911,0.69022,0.69022,0.69022
14,0.625,0.64023,0.59481,0.5752,0.625,0.625,0.625
15,0.56522,0.56091,0.52176,0.45075,0.56522,0.56522,0.56522
16,0.71739,0.71679,0.70684,0.70858,0.71739,0.71739,0.71739
17,0.58152,0.66888,0.61418,0.55735,0.58152,0.58152,0.58152
18,0.51087,0.65462,0.55524,0.44355,0.51087,0.51087,0.51087
19,0.58152,0.58931,0.54244,0.49268,0.58152,0.58152,0.58152
20,0.65217,0.66667,0.62649,0.61667,0.65217,0.65217,0.65217
