round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.60326,0.70141,0.63618,0.58034,0.60326,0.60326,0.60326
1,1,0.56522,0.6651,0.60067,0.53347,0.56522,0.56522,0.56522
1,2,0.59783,0.69791,0.63128,0.57343,0.59783,0.59783,0.59783
1,3,0.45109,0.72404,0.5049,0.31914,0.45109,0.45109,0.45109
2,0,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
2,1,0.4837,0.6403,0.53192,0.39337,0.4837,0.4837,0.4837
2,2,0.56522,0.67516,0.60187,0.53055,0.56522,0.56522,0.56522
2,3,0.52174,0.63646,0.56265,0.46898,0.52174,0.52174,0.52174
3,0,0.59783,0.68889,0.63008,0.57572,0.59783,0.59783,0.59783
3,1,0.46196,0.72652,0.51471,0.34036,0.46196,0.46196,0.46196
3,2,0.56522,0.68658,0.60306,0.52748,0.56522,0.56522,0.56522
3,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
4,0,0.54348,0.68437,0.58465,0.49311,0.54348,0.54348,0.54348
4,1,0.58152,0.64976,0.53407,0.44602,0.58152,0.58152,0.58152
4,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
4,3,0.61413,0.69201,0.64359,0.59787,0.61413,0.61413,0.61413
5,0,0.56522,0.67516,0.60187,0.53055,0.56522,0.56522,0.56522
5,1,0.52717,0.65528,0.56875,0.47299,0.52717,0.52717,0.52717
5,2,0.57065,0.67921,0.60677,0.53788,0.57065,0.57065,0.57065
5,3,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
6,0,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
6,1,0.54891,0.50473,0.50108,0.40285,0.54891,0.54891,0.54891
6,2,0.625,0.64823,0.59242,0.56768,0.625,0.625,0.625
6,3,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
7,0,0.55435,0.66667,0.59206,0.51567,0.55435,0.55435,0.55435
7,1,0.4837,0.6403,0.53192,0.39337,0.4837,0.4837,0.4837
7,2,0.63587,0.69372,0.66081,0.62659,0.63587,0.63587,0.63587
7,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
8,0,0.65217,0.6609,0.62889,0.62198,0.65217,0.65217,0.65217
8,1,0.67391,0.67478,0.65806,0.65774,0.67391,0.67391,0.67391
8,2,0.54348,0.27473,0.4902,0.35211,0.54348,0.54348,0.54348
8,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
9,0,0.54348,0.46307,0.49378,0.38225,0.54348,0.54348,0.54348
9,1,0.68478,0.69075,0.66667,0.66566,0.68478,0.68478,0.68478
9,2,0.47826,0.60465,0.52582,0.38997,0.47826,0.47826,0.47826
9,3,0.53261,0.27222,0.48039,0.34752,0.53261,0.53261,0.53261
10,0,0.46196,0.72652,0.51471,0.34036,0.46196,0.46196,0.46196
10,1,0.48913,0.62521,0.53563,0.40832,0.48913,0.48913,0.48913
10,2,0.46739,0.72778,0.51961,0.35071,0.46739,0.46739,0.46739
10,3,0.60326,0.6162,0.56923,0.53834,0.60326,0.60326,0.60326
11,0,0.52717,0.65528,0.56875,0.47299,0.52717,0.52717,0.52717
11,1,0.55435,0.52907,0.50717,0.41419,0.55435,0.55435,0.55435
11,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
11,3,0.59783,0.65493,0.6241,0.58528,0.59783,0.59783,0.59783
12,0,0.57065,0.57099,0.52905,0.46745,0.57065,0.57065,0.57065
12,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
12,2,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
12,3,0.55978,0.54498,0.51686,0.44732,0.55978,0.55978,0.55978
13,0,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
13,1,0.69565,0.69473,0.68364,0.68489,0.69565,0.69565,0.69565
13,2,0.55435,0.52747,0.5012,0.36754,0.55435,0.55435,0.55435
13,3,0.69565,0.70108,0.67886,0.67892,0.69565,0.69565,0.69565
14,0,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
14,1,0.65217,0.66202,0.66117,0.65213,0.65217,0.65217,0.65217
14,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
14,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
15,0,0.54348,0.65751,0.58226,0.50045,0.54348,0.54348,0.54348
15,1,0.70109,0.70618,0.68496,0.68547,0.70109,0.70109,0.70109
15,2,0.52717,0.27095,0.47549,0.3452,0.52717,0.52717,0.52717
15,3,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
16,0,0.5163,0.64403,0.55894,0.45658,0.5163,0.5163,0.5163
16,1,0.54348,0.65751,0.58226,0.50045,0.54348,0.54348,0.54348
16,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
16,3,0.59239,0.60781,0.55464,0.51118,0.59239,0.59239,0.59239
17,0,0.63587,0.65643,0.65005,0.63456,0.63587,0.63587,0.63587
17,1,0.60326,0.69256,0.63498,0.58253,0.60326,0.60326,0.60326
17,2,0.70109,0.71094,0.68257,0.68207,0.70109,0.70109,0.70109
17,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
18,0,0.70652,0.70295,0.70062,0.70144,0.70652,0.70652,0.70652
18,1,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
18,2,0.57065,0.67921,0.60677,0.53788,0.57065,0.57065,0.57065
18,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
19,0,0.64674,0.67438,0.66344,0.64438,0.64674,0.64674,0.64674
19,1,0.57065,0.56296,0.53384,0.49045,0.57065,0.57065,0.57065
19,2,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
19,3,0.52717,0.40804,0.47908,0.37408,0.52717,0.52717,0.52717
20,0,0.56522,0.6651,0.60067,0.53347,0.56522,0.56522,0.56522
20,1,0.52717,0.65528,0.56875,0.47299,0.52717,0.52717,0.52717
20,2,0.55435,0.52778,0.50239,0.37787,0.55435,0.55435,0.55435
20,3,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
