round,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0.58152,0.68696,0.61657,0.55231,0.58152,0.58152,0.58152
2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
3,0.69022,0.68638,0.68592,0.68613,0.69022,0.69022,0.69022
4,0.65217,0.69951,0.67432,0.64615,0.65217,0.65217,0.65217
5,0.59239,0.68515,0.62518,0.56884,0.59239,0.59239,0.59239
6,0.53261,0.27222,0.48039,0.34752,0.53261,0.53261,0.53261
7,0.52174,0.66585,0.56504,0.46048,0.52174,0.52174,0.52174
8,0.71196,0.71052,0.70194,0.70354,0.71196,0.71196,0.71196
9,0.57609,0.68314,0.61167,0.54513,0.57609,0.57609,0.57609
10,0.53804,0.66528,0.57855,0.48901,0.53804,0.53804,0.53804
11,0.56522,0.56399,0.52056,0.44369,0.56522,0.56522,0.56522
12,0.56522,0.55854,0.52296,0.45747,0.56522,0.56522,0.56522
13,0.67391,0.67661,0.67838,0.67357,0.67391,0.67391,0.67391
14,0.70109,0.70425,0.68615,0.68703,0.70109,0.70109,0.70109
15,0.55978,0.54773,0.51447,0.43303,0.55978,0.55978,0.55978
16,0.67935,0.67996,0.68209,0.67858,0.67935,0.67935,0.67935
17,0.63043,0.68433,0.65471,0.62167,0.63043,0.63043,0.63043
18,0.57609,0.67342,0.61047,0.54783,0.57609,0.57609,0.57609
19,0.66848,0.68001,0.64598,0.64089,0.66848,0.66848,0.66848
20,0.66304,0.66905,0.66978,0.663,0.66304,0.66304,0.66304
