round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.60326,0.70141,0.63618,0.58034,0.60326,0.60326,0.60326
1,1,0.53261,0.27222,0.48039,0.34752,0.53261,0.53261,0.53261
1,2,0.60326,0.70141,0.63618,0.58034,0.60326,0.60326,0.60326
1,3,0.45109,0.72404,0.5049,0.31914,0.45109,0.45109,0.45109
2,0,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
2,1,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
2,2,0.55435,0.27717,0.5,0.35664,0.55435,0.55435,0.55435
2,3,0.54891,0.51374,0.50466,0.42653,0.54891,0.54891,0.54891
3,0,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
3,1,0.46196,0.72652,0.51471,0.34036,0.46196,0.46196,0.46196
3,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
3,3,0.46739,0.72778,0.51961,0.35071,0.46739,0.46739,0.46739
4,0,0.58152,0.68696,0.61657,0.55231,0.58152,0.58152,0.58152
4,1,0.47826,0.66761,0.52822,0.37759,0.47826,0.47826,0.47826
4,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
4,3,0.63587,0.66265,0.65244,0.63343,0.63587,0.63587,0.63587
5,0,0.56522,0.67516,0.60187,0.53055,0.56522,0.56522,0.56522
5,1,0.60326,0.65907,0.62901,0.59167,0.60326,0.60326,0.60326
5,2,0.56522,0.68658,0.60306,0.52748,0.56522,0.56522,0.56522
5,3,0.69565,0.69183,0.69082,0.69124,0.69565,0.69565,0.69565
6,0,0.54348,0.27473,0.4902,0.35211,0.54348,0.54348,0.54348
6,1,0.56522,0.55854,0.52296,0.45747,0.56522,0.56522,0.56522
6,2,0.54891,0.67433,0.58835,0.50465,0.54891,0.54891,0.54891
6,3,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
7,0,0.55435,0.67857,0.59326,0.51235,0.55435,0.55435,0.55435
7,1,0.47826,0.60465,0.52582,0.38997,0.47826,0.47826,0.47826
7,2,0.6087,0.68831,0.63869,0.59126,0.6087,0.6087,0.6087
7,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
8,0,0.65761,0.66195,0.63737,0.63371,0.65761,0.65761,0.65761
8,1,0.66848,0.67098,0.65077,0.64933,0.66848,0.66848,0.66848
8,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
8,3,0.47826,0.60465,0.52582,0.38997,0.47826,0.47826,0.47826
9,0,0.46739,0.72778,0.51961,0.35071,0.46739,0.46739,0.46739
9,1,0.69565,0.69473,0.68364,0.68489,0.69565,0.69565,0.69565
9,2,0.48913,0.62521,0.53563,0.40832,0.48913,0.48913,0.48913
9,3,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
10,0,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
10,1,0.66848,0.67362,0.67468,0.66839,0.66848,0.66848,0.66848
10,2,0.56522,0.67516,0.60187,0.53055,0.56522,0.56522,0.56522
10,3,0.69565,0.69293,0.6944,0.69333,0.69565,0.69565,0.69565
11,0,0.47826,0.60465,0.52582,0.38997,0.47826,0.47826,0.47826
11,1,0.55435,0.52907,0.50717,0.41419,0.55435,0.55435,0.55435
11,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
11,3,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
12,0,0.52717,0.27095,0.47549,0.3452,0.52717,0.52717,0.52717
12,1,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
12,2,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
12,3,0.53804,0.27348,0.48529,0.34982,0.53804,0.53804,0.53804
13,0,0.48913,0.68276,0.53802,0.39676,0.48913,0.48913,0.48913
13,1,0.71196,0.70968,0.70313,0.70462,0.71196,0.71196,0.71196
13,2,0.58152,0.60367,0.53886,0.47462,0.58152,0.58152,0.58152
13,3,0.61957,0.63056,0.58991,0.57084,0.61957,0.61957,0.61957
14,0,0.54348,0.44195,0.49259,0.37273,0.54348,0.54348,0.54348
14,1,0.69565,0.69565,0.69799,0.69475,0.69565,0.69565,0.69565
14,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
14,3,0.46739,0.64419,0.51841,0.35783,0.46739,0.46739,0.46739
15,0,0.56522,0.55668,0.52415,0.46387,0.56522,0.56522,0.56522
15,1,0.68478,0.69075,0.66667,0.66566,0.68478,0.68478,0.68478
15,2,0.55978,0.54773,0.51447,0.43303,0.55978,0.55978,0.55978
15,3,0.53261,0.27222,0.48039,0.34752,0.53261,0.53261,0.53261
16,0,0.5163,0.64403,0.55894,0.45658,0.5163,0.5163,0.5163
16,1,0.53804,0.66528,0.57855,0.48901,0.53804,0.53804,0.53804
16,2,0.54891,0.27596,0.4951,0.35439,0.54891,0.54891,0.54891
16,3,0.71196,0.71448,0.69835,0.69982,0.71196,0.71196,0.71196
