round,client,accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1
1,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
1,1,0.47368,0.23684,0.5,0.32143,0.47368,0.47368,0.47368
1,2,0.5,0.71875,0.59091,0.45819,0.5,0.5,0.5
1,3,0.44444,0.22222,0.5,0.30769,0.44444,0.44444,0.44444
2,0,0.57895,0.28947,0.5,0.36667,0.57895,0.57895,0.57895
2,1,0.47368,0.23684,0.5,0.32143,0.47368,0.47368,0.47368
2,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
2,3,0.55556,0.53125,0.5125,0.44615,0.55556,0.55556,0.55556
3,0,0.57895,0.28947,0.5,0.36667,0.57895,0.57895,0.57895
3,1,0.52632,0.26316,0.5,0.34483,0.52632,0.52632,0.52632
3,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
3,3,0.5,0.73529,0.55,0.41091,0.5,0.5,0.5
4,0,0.68421,0.78571,0.72727,0.67614,0.68421,0.68421,0.68421
4,1,0.52632,0.26316,0.5,0.34483,0.52632,0.52632,0.52632
4,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
4,3,0.55556,0.58333,0.575,0.55,0.55556,0.55556,0.55556
5,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
5,1,0.68421,0.72143,0.67222,0.66071,0.68421,0.68421,0.68421
5,2,0.5,0.71875,0.59091,0.45819,0.5,0.5,0.5
5,3,0.5,0.48701,0.4875,0.48571,0.5,0.5,0.5
6,0,0.57895,0.28947,0.5,0.36667,0.57895,0.57895,0.57895
6,1,0.47368,0.23684,0.5,0.32143,0.47368,0.47368,0.47368
6,2,0.5,0.71875,0.59091,0.45819,0.5,0.5,0.5
6,3,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
7,0,0.63158,0.76667,0.68182,0.61449,0.63158,0.63158,0.63158
7,1,0.63158,0.79412,0.61111,0.55219,0.63158,0.63158,0.63158
7,2,0.5,0.71875,0.59091,0.45819,0.5,0.5,0.5
7,3,0.5,0.73529,0.55,0.41091,0.5,0.5,0.5
8,0,0.57895,0.55,0.53409,0.51282,0.57895,0.57895,0.57895
8,1,0.63158,0.68571,0.64444,0.61449,0.63158,0.63158,0.63158
8,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
8,3,0.55556,0.75,0.6,0.5,0.55556,0.55556,0.55556
9,0,0.42105,0.21053,0.5,0.2963,0.42105,0.42105,0.42105
9,1,0.68421,0.72436,0.69444,0.67614,0.68421,0.68421,0.68421
9,2,0.38889,0.19444,0.5,0.28,0.38889,0.38889,0.38889
9,3,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
10,0,0.42105,0.21053,0.5,0.2963,0.42105,0.42105,0.42105
10,1,0.78947,0.80357,0.78333,0.78409,0.78947,0.78947,0.78947
10,2,0.5,0.71875,0.59091,0.45819,0.5,0.5,0.5
10,3,0.55556,0.5625,0.5625,0.55556,0.55556,0.55556,0.55556
11,0,0.47368,0.72222,0.54545,0.39103,0.47368,0.47368,0.47368
11,1,0.47368,0.23684,0.5,0.32143,0.47368,0.47368,0.47368
11,2,0.61111,0.30556,0.5,0.37931,0.61111,0.61111,0.61111
11,3,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
12,0,0.57895,0.28947,0.5,0.36667,0.57895,0.57895,0.57895
12,1,0.47368,0.23684,0.5,0.32143,0.47368,0.47368,0.47368
12,2,0.38889,0.19444,0.5,0.28,0.38889,0.38889,0.38889
12,3,0.55556,0.27778,0.5,0.35714,0.55556,0.55556,0.55556
13,0,0.47368,0.72222,0.54545,0.39103,0.47368,0.47368,0.47368
